FID	id	left	top	right	bottom	NUMPOINTS	QuadradoDoNumPonto				
269	318	-14856,0071	-66015,7346	-9856,0071	-71015,7346	0	0				
270	313	-14856,0071	-41015,7346	-9856,0071	-46015,7346	0	0				
271	226	-29856,0071	18984,2654	-24856,0071	13984,2654	0	0				
272	108	-54856,0071	-16015,7346	-49856,0071	-21015,7346	0	0				
273	121	-54856,0071	-81015,7346	-49856,0071	-86015,7346	2	4				
274	167	-44856,0071	-61015,7346	-39856,0071	-66015,7346	2	4				
275	249	-29856,0071	-96015,7346	-24856,0071	-101015,7346	0	0				
276	483	20143,9929	-16015,7346	25143,9929	-21015,7346	0	0				
277	222	-34856,0071	-86015,7346	-29856,0071	-91015,7346	1	1				
278	184	-39856,0071	-21015,7346	-34856,0071	-26015,7346	6	36				
279	294	-19856,0071	-71015,7346	-14856,0071	-76015,7346	2	4				
280	189	-39856,0071	-46015,7346	-34856,0071	-51015,7346	7	49				
281	237	-29856,0071	-36015,7346	-24856,0071	-41015,7346	19	361				
282	283	-19856,0071	-16015,7346	-14856,0071	-21015,7346	4	16				
283	89	-59856,0071	-46015,7346	-54856,0071	-51015,7346	28	784				
284	118	-54856,0071	-66015,7346	-49856,0071	-71015,7346	4	16				
285	398	143,9929	-91015,7346	5143,9929	-96015,7346	0	0				
286	209	-34856,0071	-21015,7346	-29856,0071	-26015,7346	13	169				
287	385	143,9929	-26015,7346	5143,9929	-31015,7346	0	0				
288	277	-19856,0071	13984,2654	-14856,0071	8984,2654	2	4				
289	110	-54856,0071	-26015,7346	-49856,0071	-31015,7346	8	64				
290	217	-34856,0071	-61015,7346	-29856,0071	-66015,7346	1	1				
291	220	-34856,0071	-76015,7346	-29856,0071	-81015,7346	9	81				
292	94	-59856,0071	-71015,7346	-54856,0071	-76015,7346	4	16				
293	434	10143,9929	-21015,7346	15143,9929	-26015,7346	3	9				
294	310	-14856,0071	-26015,7346	-9856,0071	-31015,7346	2	4				
295	223	-34856,0071	-91015,7346	-29856,0071	-96015,7346	1	1				
296	85	-59856,0071	-26015,7346	-54856,0071	-31015,7346	7	49				
297	453	15143,9929	8984,2654	20143,9929	3984,2654	0	0				
298	207	-34856,0071	-11015,7346	-29856,0071	-16015,7346	1	1				
299	480	20143,9929	-1015,7346	25143,9929	-6015,7346	0	0				
300	113	-54856,0071	-41015,7346	-49856,0071	-46015,7346	7	49				
301	339	-9856,0071	-46015,7346	-4856,0071	-51015,7346	0	0				
302	289	-19856,0071	-46015,7346	-14856,0071	-51015,7346	0	0				
303	460	15143,9929	-26015,7346	20143,9929	-31015,7346	0	0				
304	258	-24856,0071	-16015,7346	-19856,0071	-21015,7346	10	100				
305	253	-24856,0071	8984,2654	-19856,0071	3984,2654	1	1				
306	314	-14856,0071	-46015,7346	-9856,0071	-51015,7346	0	0				
307	36	-69856,0071	-31015,7346	-64856,0071	-36015,7346	3	9				
308	197	-39856,0071	-86015,7346	-34856,0071	-91015,7346	1	1				
309	298	-19856,0071	-91015,7346	-14856,0071	-96015,7346	0	0				
310	259	-24856,0071	-21015,7346	-19856,0071	-26015,7346	12	144				
311	95	-59856,0071	-76015,7346	-54856,0071	-81015,7346	7	49				
312	211	-34856,0071	-31015,7346	-29856,0071	-36015,7346	3	9				
313	219	-34856,0071	-71015,7346	-29856,0071	-76015,7346	1	1				
314	170	-44856,0071	-76015,7346	-39856,0071	-81015,7346	0	0				
315	145	-49856,0071	-76015,7346	-44856,0071	-81015,7346	1	1				
316	148	-49856,0071	-91015,7346	-44856,0071	-96015,7346	0	0				
317	195	-39856,0071	-76015,7346	-34856,0071	-81015,7346	5	25				
318	292	-19856,0071	-61015,7346	-14856,0071	-66015,7346	0	0				
319	246	-29856,0071	-81015,7346	-24856,0071	-86015,7346	0	0				
320	12	-74856,0071	-36015,7346	-69856,0071	-41015,7346	0	0				
321	35	-69856,0071	-26015,7346	-64856,0071	-31015,7346	0	0				
322	14	-74856,0071	-46015,7346	-69856,0071	-51015,7346	0	0				
323	96	-59856,0071	-81015,7346	-54856,0071	-86015,7346	2	4				
324	328	-9856,0071	8984,2654	-4856,0071	3984,2654	0	0				
325	293	-19856,0071	-66015,7346	-14856,0071	-71015,7346	1	1				
326	154	-44856,0071	3984,2654	-39856,0071	-1015,7346	4	16				
327	136	-49856,0071	-31015,7346	-44856,0071	-36015,7346	7	49				
328	387	143,9929	-36015,7346	5143,9929	-41015,7346	1	1				
329	282	-19856,0071	-11015,7346	-14856,0071	-16015,7346	17	289				
330	456	15143,9929	-6015,7346	20143,9929	-11015,7346	0	0				
331	272	-24856,0071	-86015,7346	-19856,0071	-91015,7346	0	0				
332	242	-29856,0071	-61015,7346	-24856,0071	-66015,7346	1	1				
333	260	-24856,0071	-26015,7346	-19856,0071	-31015,7346	6	36				
334	131	-49856,0071	-6015,7346	-44856,0071	-11015,7346	1	1				
335	407	5143,9929	-11015,7346	10143,9929	-16015,7346	2	4				
336	83	-59856,0071	-16015,7346	-54856,0071	-21015,7346	0	0				
337	155	-44856,0071	-1015,7346	-39856,0071	-6015,7346	4	16				
338	71	-64856,0071	-81015,7346	-59856,0071	-86015,7346	12	144				
339	163	-44856,0071	-41015,7346	-39856,0071	-46015,7346	5	25				
						Soma	8109				
						Soma/N					
						VMR					
											
											
											
										3,948776	15,5928319
